recipe_id,recipe_name,recipe_main_ingredient,recipe_link,Cuisine,recipe_image,notes,contributed_by,alternatives
1,Chicken in Tarragon Marinade,Chicken,https://www.instagram.com/p/CHWu5B0n4zC/?utm_source=ig_web_copy_link,,,Inspired by @dietitiansamantha,Kitchenkaypers,
2,Baked Pampano,Fish,https://www.instagram.com/p/CGwOHnAnCRP/,Filipino,,,,
3,Baked Salmon Fillet in Cream Sauce,Fish,https://www.yummy.ph/lessons/cooking/how-to-make-baked-salmon-ala-contis-recipe-video-a00249-20201218?ref=feed_1,,,,,
4,Creamy Carbonara,Pasta,https://createwithcream.ph/recipe/scrumptious-creamy-carbonara?gclid=CjwKCAjw_L6LBhBbEiwA4c46unP-3Wv6EJGCUx25k12cezOG85JRSidGHH-gLzNY1JibYDn80HBnrRoCFi4QAvD_BwE,,,,,
5,General’s Chicken,Chicken,https://pepper.ph/heres-your-mid-week-pick-me-up-generals-chicken-by-recipes/,,,,,
6,Crispy Chewy Oatmeal Cookies,Grains,https://www.kyleecooks.com/crispy-chewy-oatmeal-cookies/,,,,,
7,Bokchoy and Mushroom with Garlic and Oyster Sauce,Vegetable,https://panlasangpinoy.com/bok-choy-with-garlic-and-oyster-sauce/,,,,,
8,Deep Fried Cauliflower,Vegetable,https://www.food.com/recipe/batter-dipped-deep-fried-cauliflower-153891?ic1=suggestedAsset%7Cdeep%20fried%20cauliflow,,,,,
9,Basil Cream Cheese Dip,Vegetable,https://www.yummy.ph/recipe/spinach-and-artichoke-dip,,,,,
10,Ginataang bilo-bilo,Vegetable,https://panlasangpinoy.com/ginataang-bilo-bilo-langka-recipe/,,,,,
11,Chopsuey with Shrimp,Vegetable,self,,,,,
12,Chopsuey with Chicken,Vegetable,self,,,,,
13,Chopsuey with Mushrooms,Vegetable,self,,,,,
14,Chicken Parmigiana,Chicken,https://www.foodnetwork.com/recipes/bobby-flay/chicken-parmigiana-recipe-1952359,,,,,
15,Chicken with Mushroom and Cream Sauce,Chicken,https://www.saltandlavender.com/creamy-mushroom-chicken/,,,,,
16,Sinigang na Baboy,Pork,https://www.knorr.com/ph/recipe-ideas/sinigang-na-baboy.html,,,,,
17,Baked Red Snapper with Lemon,Fish,https://www.recipetineats.com/whole-baked-fish/,,,,,
18,Fried Pompano (black),Fish,1/2 kg pompano fish (black) ,,,,,
19,Sweet and Sour Meatballs,Pork,https://www.instagram.com/p/CWcSX6vpHG4/,,,,,
20,Beef with Brocolli,Beef,https://www.instagram.com/p/CVUa4uoFkdL/?utm_source=ig_web_copy_link,,,,,
21,Beef with Sweet Pea,Beef,self,,,,,
22,Pork Adobo,Pork,self,,,,,
23,Pork Menudo,Pork,https://panlasangpinoy.com/pork-menudo-recipe/#recipe,,,,,
24,Pochero,Pork,self,,,,,
25,Ginataang Kalabasa with Shrimp,Vegetable,https://panlasangpinoy.com/ginataang-hipon-sitaw-at-kalabasa/,,,,,
26,Din Tai Fung Fried Rice,Rice,https://www.instagram.com/p/CVip1JqFdM8/,,,,,
27,Lumpiang Shanghai,Pork,https://www.instagram.com/p/CV_-5WovH6-/?utm_source=ig_web_copy_link,,,,,
28,Lumpiang Toge,Vegetable,,,,,,
29,Meatballs in Cream Sauce,Vegetable,,,,,,
30,Bacon Asparagus Wrap,Vegetable,self,,,,,
31,Fruit Salad Float,Fruit,,,,,,
32,Peach Float,Fruit,,,,,,
33,Buttermilk Fried Chicken,Chicken,https://www.youtube.com/watch?v=cyZxWg2xyJA,,,,,
34,Sinigang na Pompano,Fish,,,,,,
35,Gourmet Tuyo Pasta,Pasta,https://www.instagram.com/p/CT9klo4BJZK/,,,,,
36,Fruit Crepe,Fruit,,,,,,
37,Fried Dalagang Bukid (bilog),Fish,https://www.instagram.com/p/CVcUIY8FoR0/,,,,,
38,Salted Garlic Squid,Seafood,https://www.instagram.com/p/CUn5VnIpzKn/,,,,,
39,Cajun Shrimp with Scallops,Seafood,https://www.instagram.com/p/CUP4t6IhL74/,,,,,
40,Inihaw na Liempo,Pork,,,,,,
41,Pork Steak,Pork,,,,,,
42,Breaded Porkchop,Pork,,,,,,
43,Beef Salpicao,Beef,,,,,,
44,Tortang Talong,Vegetable,,,,,,
45,Chicken Sopas,Soup,https://www.knorr.com/ph/recipe-ideas/chicken-sopas.html,,,,,
46,Tuna Pie,Fish,https://www.instagram.com/p/CU7YywgFLrn/,,,,,
47,Tuna Tacos,Fish,https://www.instagram.com/p/CVznAWHlUCJ/,,,,,
48,Beef Tacos,Beef,https://www.mccormick.com/recipes/main-dishes/fiesta-tacos,,,,,
49,Adobong Pusit,Seafood,https://panlasangpinoy.com/adobong-pusit-recipe/#recipe,,,,,
50,Salt and Pepper Wings,Chicken,https://www.instagram.com/p/CU704nlphv5/,,,,,
51,Mushroom Tofu Steak,Vegetable,https://www.yummy.ph/recipe/crunchy-tofu-steak-and-mushrooms,,,,,
52,Fried Talong with Toyomansi,Vegetable,,,,,,
53,Fried Tilapia with Salted Egg confit,Fish,,,,,,
54,Minatamis na Saging,Fruit,self,,,,,
55,Garlic Fried Rice,Rice,self,,,,,
56,Peach Mango Pie,Fruit,,,,,,
57,Home Spaghetti,Pasta,self,,,,,
58,Salted Garlic Spare Ribs,Pork,,,,,,
59,Salmon Sinigang,Fish,https://www.knorr.com/ph/recipe-ideas/sinigang-na-salmon-recipe.html,,,,,
60,Daing na Bangus,Fish,self,,,,,
61,Shrimp Sinigang,Seafood,https://www.knorr.com/ph/recipe-ideas/shrimp-sinigang-recipe.html,,,,,
62,Pinakbet,Vegetable,,,,,,
63,Stir Fried Labong,Vegetable,,,,,,
64,Grilled Pusit,Seafood,https://www.kawalingpinoy.com/inihaw-na-pusit-grilled-squid/,,,,,
65,Garlic Shrimp Pasta,Pasta,,,,,,
66,Spam Fried Rice,Rice,https://www.instagram.com/p/CUWljrul8lB/,,,,,
67,Arrozcaldo,Rice,,,,,,
68,Champorado,Rice,,,,,,
69,Ham and Egg Sandwich,Bread,,,,,,
70,Butter Garlic Shrimp,Seafood,https://www.wellplated.com/garlic-butter-shrimp/,,,,,
71,Corned Beef with Potatoes,Beef,self,,,,,
72,Misua with Meatballs,Pork,,,,,,
73,Mushroom Tofu Sisig,Vegetable,,,,,,
74,French Toast,Bread,https://www.cookingclassy.com/baked-french-toast-sticks/,,,,,
75,Overnight Oats,Grains,,,,,,
76,Chicken Curry,Chicken,https://panlasangpinoy.com/chicken-curry-pinoy-style/,,,,,
77,Burger with Mushroom Cream Sauce,Beef,https://www.recipetineats.com/mushroom-sauce/,,,,,
78,Baked Salmon Belly in Pesto Sauce,Fish,https://www.instagram.com/p/CUnAahml9At/?utm_source=ig_web_copy_link,,,,,
79,Biko with Latik,Rice,https://panlasangpinoy.com/filipino-asian-food-dessert-rice-cake-biko-recipe/,,,,,
80,Blooming Onions,Vegetable,https://domesticsuperhero.com/outback-bloomin-onion-petals-copycat/,,,,,
81,Shrimp Pad Thai,Pasta,https://www.instagram.com/p/CU4O2c2FeY7/,,,,,
82,Pesto Crusted Salmon,Fish,https://www.instagram.com/p/CVCX0TBFgCi/,,,,,
83,Baked French Toast Sticks,Bread,https://www.cookingclassy.com/baked-french-toast-sticks/,,,,,
84,Honey Beef Rice,Rice,https://www.instagram.com/p/CWCt3fDvgTH/,,,,,
85,Shrimp Curry,Seafood,,,,,,
